op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.DKRS2004.Add,19,161,199618,426,0.0022152
QuantumArithmetic.DKRS2004.Add,23,193,210434,528,0.0027456
QuantumArithmetic.DKRS2004.Add,27,228,222264,648,0.0033696
QuantumArithmetic.DKRS2004.Add,32,266,245540,762,0.004572
QuantumArithmetic.DKRS2004.Add,38,319,269390,960,0.00576
QuantumArithmetic.DKRS2004.Add,45,378,295940,1170,0.00702
QuantumArithmetic.DKRS2004.Add,54,452,329240,1422,0.008532
QuantumArithmetic.DKRS2004.Add,64,532,455720,1686,0.010116
QuantumArithmetic.DKRS2004.Add,76,634,501620,2064,0.012384
QuantumArithmetic.DKRS2004.Add,91,759,627982,2514,0.0170952
QuantumArithmetic.DKRS2004.Add,108,897,707746,3006,0.0204408
QuantumArithmetic.DKRS2004.Add,128,1059,801382,3570,0.024276
QuantumArithmetic.DKRS2004.Add,152,1258,916404,4308,0.0292944
QuantumArithmetic.DKRS2004.Add,181,1499,1055702,5196,0.0353328
QuantumArithmetic.DKRS2004.Add,215,1776,1215808,6198,0.0421464
QuantumArithmetic.DKRS2004.Add,256,2105,1504690,7374,0.0501432
QuantumArithmetic.DKRS2004.Add,304,2499,2056278,8832,0.0671232
QuantumArithmetic.DKRS2004.Add,362,2975,2417950,10590,0.080484
QuantumArithmetic.DKRS2004.Add,431,3534,2821548,12642,0.0960792
QuantumArithmetic.DKRS2004.Add,512,4187,3293014,15018,0.1141368
QuantumArithmetic.DKRS2004.Add,609,4985,3905170,18018,0.1369368
QuantumArithmetic.DKRS2004.Add,724,5911,4573742,21414,0.1627464
QuantumArithmetic.DKRS2004.Add,861,7021,6462522,25524,0.2144016
QuantumArithmetic.DKRS2004.Add,1024,8332,7618824,30342,0.2548728
QuantumArithmetic.DKRS2004.Add,1218,9911,9011502,36252,0.3045168
QuantumArithmetic.DKRS2004.Add,1448,11762,10644084,43098,0.3620232
QuantumArithmetic.DKRS2004.Add,1722,13974,12595068,51318,0.4310712
QuantumArithmetic.DKRS2004.Add,2048,16595,14906790,61026,0.5126184
QuantumArithmetic.DKRS2004.Add,2435,19726,17668332,72744,0.6110496
QuantumArithmetic.DKRS2004.Add,2896,23432,25043056,86502,0.7958184
QuantumArithmetic.DKRS2004.Add,3444,27843,29709894,102942,0.9470664
QuantumArithmetic.DKRS2004.Add,4096,33081,35251698,122430,1.126356
QuantumArithmetic.DKRS2004.Add,4871,39326,41858908,145788,1.3412496
QuantumArithmetic.DKRS2004.Add,5793,46738,49718804,173448,1.5957216
QuantumArithmetic.DKRS2004.Add,6889,55541,59032378,206292,1.8978864
QuantumArithmetic.DKRS2004.Add,8192,65995,70092710,245274,2.2565208
QuantumArithmetic.DKRS2004.Add,9742,78454,98319500,291882,2.91882
QuantumArithmetic.DKRS2004.Add,11585,93250,116814500,347190,3.4719
QuantumArithmetic.DKRS2004.Add,13777,110837,138798250,412914,4.12914
QuantumArithmetic.DKRS2004.Add,16384,131739,164925750,490998,4.90998
